Sternbild,RA_start,Dec_start,RA_end,Dec_end
And,354.39125,46.46,355.10208,44.33
And,355.10208,44.33,354.53417,43.27
And,354.53417,43.27,345.48042,42.33
And,345.48042,42.33,354.53417,43.27
And,354.53417,43.27,4.58208,36.79
And,4.58208,36.79,9.83208,30.86
And,9.83208,30.86,2.09708,29.09
And,2.09708,29.09,9.83208,30.86
And,9.83208,30.86,9.63875,29.31
And,9.63875,29.31,11.83458,24.27
And,11.83458,24.27,9.63875,29.31
And,9.63875,29.31,9.83208,30.86
And,9.83208,30.86,17.43292,35.62
And,17.43292,35.62,30.975,42.33
And,30.975,42.33,17.43292,35.62
And,17.43292,35.62,24.49833,48.63
And,24.49833,48.63,17.43292,35.62
And,17.43292,35.62,14.18833,38.5
And,14.18833,38.5,12.45333,41.08
Ant,164.17958,-37.13778,156.78792,-31.06778
Ant,156.78792,-31.06778,146.05042,-27.76944
Ant,146.05042,-27.76944,142.31125,-35.95139
Aql,298.82833,6.41,297.69583,8.87
Aql,297.69583,8.87,296.565,10.61
Aql,296.565,10.61,291.37458,3.11
Aql,291.37458,3.11,286.3525,13.86
Aql,286.3525,13.86,291.37458,3.11
Aql,291.37458,3.11,298.11833,1.01
Aql,298.11833,1.01,302.82625,-0.82139
Aql,302.82625,-0.82139,298.11833,1.01
Aql,298.11833,1.01,291.37458,3.11
Aql,291.37458,3.11,286.56208,-4.8825
Aql,286.56208,-4.8825,285.42,-5.73889
Aqr,347.36167,-21.1725,348.97292,-9.08778
Aqr,348.97292,-9.08778,348.58083,-6.04889
Aqr,348.58083,-6.04889,338.83917,-0.1175
Aqr,338.83917,-0.1175,335.41417,-1.38722
Aqr,335.41417,-1.38722,343.15375,-7.57972
Aqr,343.15375,-7.57972,343.6625,-15.82083
Aqr,343.6625,-15.82083,343.15375,-7.57972
Aqr,343.15375,-7.57972,335.41417,-1.38722
Aqr,335.41417,-1.38722,334.20833,-7.78333
Aqr,334.20833,-7.78333,331.60917,-13.86972
Aqr,331.60917,-13.86972,334.20833,-7.78333
Aqr,334.20833,-7.78333,335.41417,-1.38722
Aqr,335.41417,-1.38722,331.44583,-0.31972
Aqr,331.44583,-0.31972,322.88958,-5.57111
Ari,47.9075,19.73,44.80292,21.34
Ari,44.80292,21.34,42.49583,27.26
Ari,42.49583,27.26,31.79333,23.46
Ari,31.79333,23.46,28.66,20.81
Ari,28.66,20.81,28.3825,19.29
Aur,79.1725,46.0,89.88208,44.95
Aur,89.88208,44.95,89.93042,37.21
Aur,89.93042,37.21,81.57292,28.61
Aur,81.57292,28.61,74.24833,33.17
Aur,74.24833,33.17,75.61958,41.08
Aur,75.61958,41.08,76.62875,41.23
Aur,76.62875,41.23,75.49208,43.82
Aur,75.49208,43.82,79.1725,46.0
Boo,218.01958,38.31,217.9575,30.37
Boo,217.9575,30.37,213.91542,19.18
Boo,213.91542,19.18,221.24667,27.07
Boo,221.24667,27.07,228.87583,33.31
Boo,228.87583,33.31,225.48667,40.39
Boo,225.48667,40.39,218.01958,38.31
Boo,218.01958,38.31,214.09583,46.09
Boo,214.09583,46.09,216.29917,51.85
Boo,216.29917,51.85,213.37083,51.79
Boo,213.37083,51.79,214.09583,46.09
CMa,104.03417,-17.05417,103.5475,-12.03861
CMa,103.5475,-12.03861,105.93958,-15.63333
CMa,105.93958,-15.63333,104.03417,-17.05417
CMa,104.03417,-17.05417,101.28708,-16.71611
CMa,101.28708,-16.71611,95.675,-17.95583
CMa,95.675,-17.95583,99.17083,-19.25583
CMa,99.17083,-19.25583,103.53292,-24.18389
CMa,103.53292,-24.18389,104.65625,-28.97222
CMa,104.65625,-28.97222,105.42958,-27.93472
CMa,105.42958,-27.93472,107.09792,-26.39333
CMa,107.09792,-26.39333,111.02375,-29.30306
CMa,111.02375,-29.30306,107.09792,-26.39333
CMa,107.09792,-26.39333,105.75625,-23.83333
CMa,105.75625,-23.83333,101.28708,-16.71611
CMi,114.82542,5.23,111.7875,8.29
CVn,194.00708,38.32,188.43542,41.36
Cae,70.14042,-41.86389,70.51458,-37.14444
Cam,52.47875,58.88,52.26708,59.94
Cam,52.26708,59.94,57.38,65.53
Cam,57.38,65.53,57.58958,71.33
Cam,57.58958,71.33,73.5125,66.34
Cam,73.5125,66.34,75.85458,60.44
Cam,75.85458,60.44,74.32167,53.75
Cap,304.51375,-12.54472,305.25292,-14.78139
Cap,305.25292,-14.78139,311.52375,-25.27083
Cap,311.52375,-25.27083,312.95542,-26.91917
Cap,312.95542,-26.91917,321.66667,-22.41139
Cap,321.66667,-22.41139,325.02292,-16.66222
Cap,325.02292,-16.66222,326.76,-16.12722
Cap,326.76,-16.12722,325.02292,-16.66222
Cap,325.02292,-16.66222,320.56167,-16.83444
Cap,320.56167,-16.83444,316.48667,-17.23278
Cap,316.48667,-17.23278,305.25292,-14.78139
Cas,28.59875,63.67,21.45417,60.24
Cas,21.45417,60.24,14.17708,60.72
Cas,14.17708,60.72,10.12708,56.54
Cas,10.12708,56.54,2.29458,59.15
Cen,207.40417,-42.47389,207.37625,-41.68778
Cen,207.37625,-41.68778,200.14917,-36.71222
Cen,200.14917,-36.71222,207.37625,-41.68778
Cen,207.37625,-41.68778,211.67083,-36.37
Cen,211.67083,-36.37,207.37625,-41.68778
Cen,207.37625,-41.68778,209.56792,-42.10083
Cen,209.56792,-42.10083,218.87667,-42.15778
Cen,218.87667,-42.15778,224.79042,-42.10417
Cep,354.83667,77.63,322.165,70.56
Cep,322.165,70.56,319.645,62.59
Cep,319.645,62.59,332.71375,58.2
Cep,332.71375,58.2,342.42,66.2
Cep,342.42,66.2,354.83667,77.63
Cet,40.825,3.24,37.03958,8.46
Cet,37.03958,8.46,41.23542,10.11
Cet,41.23542,10.11,44.92875,8.91
Cet,44.92875,8.91,45.57,4.09
Cet,45.57,4.09,40.825,3.24
Cet,40.825,3.24,39.87083,0.33
Cet,39.87083,0.33,34.83625,-2.9775
Cet,34.83625,-2.9775,27.865,-10.335
Cet,27.865,-10.335,21.00583,-8.18333
Cet,21.00583,-8.18333,17.1475,-10.18222
Cet,17.1475,-10.18222,10.8975,-17.98667
Cet,10.8975,-17.98667,22.40042,-21.62944
Cet,22.40042,-21.62944,30.00125,-21.07778
Cet,30.00125,-21.07778,27.865,-10.335
Cnc,134.62167,11.86,131.17125,18.15
Cnc,131.17125,18.15,124.12875,9.19
Cnc,124.12875,9.19,131.17125,18.15
Cnc,131.17125,18.15,130.82125,21.47
Cnc,130.82125,21.47,131.67417,28.76
Col,95.52833,-33.43639,94.13792,-35.14056
Col,94.13792,-35.14056,89.38417,-35.28333
Col,89.38417,-35.28333,87.74,-35.76833
Col,87.74,-35.76833,89.78667,-42.81528
Col,89.78667,-42.81528,87.74,-35.76833
Col,87.74,-35.76833,84.91208,-34.07417
Col,84.91208,-34.07417,79.37125,-34.89528
Com,197.49708,17.53,197.96833,27.88
Com,197.96833,27.88,186.73458,28.27
CrA,284.68083,-37.1075,286.60458,-37.06333
CrA,286.60458,-37.06333,287.36792,-37.90444
CrA,287.36792,-37.90444,287.50708,-39.34083
CrA,287.50708,-39.34083,287.08708,-40.49667
CrA,287.08708,-40.49667,285.77875,-42.09528
CrB,240.36083,29.85,239.39708,26.88
CrB,239.39708,26.88,237.39875,26.07
CrB,237.39875,26.07,235.68583,26.3
CrB,235.68583,26.3,233.67208,26.71
CrB,233.67208,26.71,231.95708,29.11
CrB,231.95708,29.11,233.2325,31.36
Crt,179.00375,-17.15083,176.19083,-18.35083
Crt,176.19083,-18.35083,171.22042,-17.68389
Crt,171.22042,-17.68389,167.91458,-22.82583
Crt,167.91458,-22.82583,164.94375,-18.29889
Crt,164.94375,-18.29889,169.83542,-14.77861
Crt,169.83542,-14.77861,171.22042,-17.68389
Crt,171.22042,-17.68389,169.83542,-14.77861
Crt,169.83542,-14.77861,171.1525,-10.85944
Crt,171.1525,-10.85944,174.17042,-9.80222
Crv,182.10333,-24.72889,182.53125,-22.61972
Crv,182.53125,-22.61972,183.95167,-17.54194
Crv,183.95167,-17.54194,187.46625,-16.51556
Crv,187.46625,-16.51556,188.59667,-23.39667
Crv,188.59667,-23.39667,182.53125,-22.61972
Cyg,292.68042,27.96,299.07667,35.08
Cyg,299.07667,35.08,305.55708,40.26
Cyg,305.55708,40.26,311.55292,33.97
Cyg,311.55292,33.97,318.23417,30.23
Cyg,318.23417,30.23,311.55292,33.97
Cyg,311.55292,33.97,305.55708,40.26
Cyg,305.55708,40.26,310.35792,45.28
Cyg,310.35792,45.28,305.55708,40.26
Cyg,305.55708,40.26,296.24375,45.13
Cyg,296.24375,45.13,292.42625,51.73
Del,308.30333,11.3,309.3875,14.6
Del,309.3875,14.6,309.90958,15.91
Del,309.90958,15.91,311.66458,16.12
Del,311.66458,16.12,310.86458,15.07
Del,310.86458,15.07,309.3875,14.6
Dra,268.38208,56.87,269.15167,51.49
Dra,269.15167,51.49,262.60833,52.3
Dra,262.60833,52.3,263.04417,55.18
Dra,263.04417,55.18,268.38208,56.87
Dra,268.38208,56.87,288.13875,67.66
Dra,288.13875,67.66,297.04333,70.27
Dra,297.04333,70.27,275.26417,72.73
Dra,275.26417,72.73,265.48458,72.15
Dra,265.48458,72.15,257.19667,65.71
Dra,257.19667,65.71,245.99792,61.51
Dra,245.99792,61.51,240.47208,58.57
Dra,240.47208,58.57,231.2325,58.97
Dra,231.2325,58.97,211.09708,64.38
Dra,211.09708,64.38,188.37083,69.79
Dra,188.37083,69.79,172.85083,69.33
Dra,172.85083,69.33,144.27167,81.33
Equ,318.95583,5.25,320.72333,6.81
Equ,320.72333,6.81,318.62042,10.01
Equ,318.62042,10.01,317.58542,10.13
Eri,76.9625,-5.08639,73.22375,-5.45278
Eri,73.22375,-5.45278,71.37542,-3.25472
Eri,71.37542,-3.25472,69.07958,-3.3525
Eri,69.07958,-3.3525,62.96625,-6.8375
Eri,62.96625,-6.8375,59.5075,-13.50861
Eri,59.5075,-13.50861,55.81208,-9.76333
Eri,55.81208,-9.76333,53.2325,-9.45833
Eri,53.2325,-9.45833,44.10708,-8.89806
Eri,44.10708,-8.89806,41.03083,-13.85861
Eri,41.03083,-13.85861,41.27583,-18.5725
Eri,41.27583,-18.5725,45.59792,-23.62444
Eri,45.59792,-23.62444,49.87917,-21.75778
Eri,49.87917,-21.75778,53.44708,-21.63278
Eri,53.44708,-21.63278,56.71208,-23.24972
Eri,56.71208,-23.24972,58.4275,-24.6125
Eri,58.4275,-24.6125,59.98125,-24.01639
Eri,59.98125,-24.01639,68.8875,-30.56222
Eri,68.8875,-30.56222,66.00917,-34.01694
Eri,66.00917,-34.01694,64.47375,-33.79833
Eri,64.47375,-33.79833,57.36375,-36.20028
Eri,57.36375,-36.20028,57.14958,-37.62056
Eri,57.14958,-37.62056,54.27375,-40.27472
Eri,44.56792,-40.30444,40.16667,-39.85556
Eri,40.16667,-39.85556,39.95,-42.89167
For,48.01792,-28.98694,42.2725,-32.40583
For,42.2725,-32.40583,31.1225,-29.29694
Gem,91.03,23.26,93.71917,22.51
Gem,93.71917,22.51,95.74,22.51
Gem,95.74,22.51,100.98292,25.13
Gem,100.98292,25.13,97.24083,20.21
Gem,97.24083,20.21,100.98292,25.13
Gem,100.98292,25.13,107.785,30.25
Gem,107.785,30.25,112.27792,31.78
Gem,112.27792,31.78,113.65,31.89
Gem,113.65,31.89,112.27792,31.78
Gem,112.27792,31.78,107.785,30.25
Gem,107.785,30.25,103.19708,33.96
Gem,103.19708,33.96,107.785,30.25
Gem,107.785,30.25,111.43167,27.8
Gem,111.43167,27.8,113.98042,26.9
Gem,113.98042,26.9,116.32875,28.03
Gem,116.32875,28.03,113.98042,26.9
Gem,113.98042,26.9,116.11167,24.4
Gem,116.11167,24.4,113.98042,26.9
Gem,113.98042,26.9,110.03083,21.98
Gem,110.03083,21.98,106.02708,20.57
Gem,106.02708,20.57,99.42792,16.4
Gem,99.42792,16.4,106.02708,20.57
Gem,106.02708,20.57,110.03083,21.98
Gem,110.03083,21.98,109.52333,16.54
Gem,109.52333,16.54,101.3225,12.9
Gru,328.48208,-37.365,331.52875,-39.54333
Her,255.0725,30.93,258.76167,36.81
Her,258.76167,36.81,269.06333,37.25
Her,269.06333,37.25,264.86625,46.01
Her,264.86625,46.01,269.06333,37.25
Her,269.06333,37.25,258.76167,36.81
Her,258.76167,36.81,250.72417,38.92
Her,250.72417,38.92,248.52583,42.44
Her,248.52583,42.44,244.935,46.31
Her,244.935,46.31,248.52583,42.44
Her,248.52583,42.44,250.72417,38.92
Her,250.72417,38.92,250.32167,31.6
Her,250.32167,31.6,247.555,21.49
Her,247.555,21.49,250.32167,31.6
Her,250.32167,31.6,255.0725,30.93
Her,255.0725,30.93,258.75792,24.84
Her,258.75792,24.84,266.61458,27.72
Her,266.61458,27.72,269.44125,29.25
Her,269.44125,29.25,271.88583,28.76
Hor,63.50042,-42.29444,62.71083,-41.99361
Hya,132.10833,5.84,131.69417,6.42
Hya,131.69417,6.42,129.41417,5.7
Hya,129.41417,5.7,129.68917,3.34
Hya,129.68917,3.34,130.80625,3.4
Hya,130.80625,3.4,132.10833,5.84
Hya,132.10833,5.84,133.84833,5.95
Hya,133.84833,5.95,138.59125,2.31
Hya,138.59125,2.31,144.96417,-1.14278
Hya,144.96417,-1.14278,141.89667,-8.65861
Hya,141.89667,-8.65861,147.86958,-14.84667
Hya,147.86958,-14.84667,152.64708,-12.35417
Hya,152.64708,-12.35417,156.5225,-16.83639
Hya,156.5225,-16.83639,162.40625,-16.19361
Hya,162.40625,-16.19361,173.25042,-31.85778
Hya,173.25042,-31.85778,178.2275,-33.90806
Hya,178.2275,-33.90806,199.73042,-23.17167
Hya,199.73042,-23.17167,211.59292,-26.6825
LMi,163.32792,34.22,156.97083,36.71
LMi,156.97083,36.71,151.8575,34.75528
Lac,333.9925,37.75,333.46958,39.72
Lac,333.46958,39.72,337.62208,43.12
Lac,337.62208,43.12,340.12875,44.28
Lac,340.12875,44.28,337.62208,43.12
Lac,337.62208,43.12,335.25667,45.46333
Lac,335.25667,45.46333,337.62208,43.12
Lac,337.62208,43.12,337.3825,46.29306
Lac,337.3825,46.29306,336.12917,49.48
Lac,336.12917,49.48,335.89,52.23
Lac,335.89,52.23,337.82292,50.28
Lac,337.82292,50.28,337.3825,46.29306
Leo,146.46292,23.77,148.19083,26.01
Leo,148.19083,26.01,154.1725,23.42
Leo,154.1725,23.42,154.99417,19.84
Leo,154.99417,19.84,151.83333,16.76
Leo,151.83333,16.76,152.09292,11.97
Leo,152.09292,11.97,145.2875,9.89
Leo,145.2875,9.89,152.09292,11.97
Leo,152.09292,11.97,168.56,15.43
Leo,168.56,15.43,170.98125,10.53
Leo,170.98125,10.53,170.28417,6.03
Leo,170.28417,6.03,170.98125,10.53
Leo,170.98125,10.53,168.56,15.43
Leo,168.56,15.43,177.265,14.57
Leo,177.265,14.57,168.52708,20.52
Leo,168.52708,20.52,154.99417,19.84
Lep,76.36542,-22.37111,82.06125,-20.75944
Lep,82.06125,-20.75944,83.1825,-17.82222
Lep,83.1825,-17.82222,78.23292,-16.20556
Lep,78.23292,-16.20556,83.1825,-17.82222
Lep,83.1825,-17.82222,86.73875,-14.82194
Lep,86.73875,-14.82194,89.10125,-14.16778
Lib,238.45625,-16.72944,233.88167,-14.78944
Lib,233.88167,-14.78944,229.25167,-9.38306
Lib,229.25167,-9.38306,222.71958,-16.04167
Lib,222.71958,-16.04167,226.0175,-25.28194
Lib,226.0175,-25.28194,229.25167,-9.38306
Lib,229.25167,-9.38306,226.0175,-25.28194
Lib,226.0175,-25.28194,234.25625,-28.135
Lib,234.25625,-28.135,234.66417,-29.77778
Lup,241.64792,-36.80222,240.03042,-38.39694
Lup,240.03042,-38.39694,233.78542,-41.16694
Lup,230.34292,-40.6475,233.78542,-41.16694
Lup,233.78542,-41.16694,230.34292,-40.6475
Lup,230.34292,-40.6475,230.45167,-36.26139
Lup,230.45167,-36.26139,237.73958,-33.62722
Lyn,140.26375,34.39,139.71125,36.8
Lyn,139.71125,36.8,136.6325,38.45
Lyn,136.6325,38.45,135.16,41.78
Lyn,135.16,41.78,125.70875,43.19
Lyn,125.70875,43.19,111.67833,49.21
Lyn,111.67833,49.21,104.31875,58.42
Lyn,104.31875,58.42,94.90583,58.98917
Lyr,279.23458,38.78,281.19333,37.61
Lyr,281.19333,37.61,282.52,33.36
Lyr,282.52,33.36,284.73583,32.69
Lyr,284.73583,32.69,283.62583,36.9
Lyr,283.62583,36.9,281.19333,37.61
Mic,320.19,-40.80972,319.48458,-32.1725
Mic,319.48458,-32.1725,315.32292,-32.25778
Mic,315.32292,-32.25778,312.49208,-33.77972
Mon,98.22583,7.33,95.94208,4.59
Mon,95.94208,4.59,101.965,2.41
Mon,101.965,2.41,107.96625,-0.49278
Mon,107.96625,-0.49278,97.20417,-7.03278
Mon,97.20417,-7.03278,93.71375,-6.27472
Mon,93.71375,-6.27472,97.20417,-7.03278
Mon,97.20417,-7.03278,107.96625,-0.49278
Mon,107.96625,-0.49278,115.31167,-9.55111
Mon,115.31167,-9.55111,122.14833,-2.98389
Oph,263.73375,12.56,254.41708,9.38
Oph,254.41708,9.38,247.72833,1.98
Oph,247.72833,1.98,243.58625,-3.69444
Oph,243.58625,-3.69444,244.58042,-4.6925
Oph,244.58042,-4.6925,249.28958,-10.56722
Oph,249.28958,-10.56722,257.59458,-15.72472
Oph,257.59458,-15.72472,265.86833,4.57
Oph,265.86833,4.57,263.73375,12.56
Ori,85.18958,-1.94278,86.93917,-9.66972
Ori,86.93917,-9.66972,78.63458,-8.20167
Ori,78.63458,-8.20167,83.00167,-0.29917
Ori,83.00167,-0.29917,81.28292,6.35
Ori,81.28292,6.35,83.78458,9.93
Ori,83.78458,9.93,88.79292,7.41
Ori,88.79292,7.41,90.59583,9.65
Ori,90.59583,9.65,92.985,14.21
Ori,92.985,14.21,91.89292,14.77
Ori,91.89292,14.77,88.59542,20.28
Ori,88.59542,20.28,90.98,20.14
Ori,90.98,20.14,92.985,14.21
Ori,92.985,14.21,90.59583,9.65
Ori,90.59583,9.65,88.79292,7.41
Ori,88.79292,7.41,85.18958,-1.94278
Ori,85.18958,-1.94278,84.05333,-1.20194
Ori,84.05333,-1.20194,83.00167,-0.29917
Ori,83.00167,-0.29917,81.28292,6.35
Ori,81.28292,6.35,72.46,6.96
Ori,72.46,6.96,72.80167,5.61
Ori,72.80167,5.61,73.56292,2.44
Ori,73.56292,2.44,74.63708,1.71
Ori,74.63708,1.71,73.56292,2.44
Ori,73.56292,2.44,72.80167,5.61
Ori,72.80167,5.61,72.46,6.96
Ori,72.46,6.96,72.65292,8.9
Ori,72.65292,8.9,74.09292,13.51
Ori,74.09292,13.51,76.14208,15.4
Ori,76.14208,15.4,77.425,15.6
Peg,332.49667,33.18,340.75042,30.22
Peg,340.75042,30.22,345.94375,28.08
Peg,345.94375,28.08,2.09708,29.09
Peg,2.09708,29.09,345.94375,28.08
Peg,345.94375,28.08,346.19042,15.21
Peg,346.19042,15.21,3.30917,15.18
Peg,3.30917,15.18,2.09708,29.09
Peg,2.09708,29.09,3.30917,15.18
Peg,3.30917,15.18,346.19042,15.21
Peg,346.19042,15.21,340.36542,10.83
Peg,340.36542,10.83,332.55,6.2
Peg,332.55,6.2,326.04667,9.88
Per,47.04208,40.96,47.37417,44.86
Per,47.37417,44.86,51.08083,49.86
Per,51.08083,49.86,46.19917,53.51
Per,46.19917,53.51,51.08083,49.86
Per,51.08083,49.86,55.73125,47.79
Per,55.73125,47.79,59.46333,40.01
Per,59.46333,40.01,59.74125,35.79
Per,59.74125,35.79,58.53292,31.88
PsA,344.41292,-29.62222,340.16417,-27.04361
PsA,340.16417,-27.04361,333.57833,-27.76694
PsA,333.57833,-27.76694,330.20917,-28.45361
PsA,330.20917,-28.45361,326.93417,-30.89833
PsA,326.93417,-30.89833,326.23667,-33.02583
PsA,326.23667,-33.02583,332.09583,-32.98861
PsA,332.09583,-32.98861,337.87625,-32.34611
PsA,337.87625,-32.34611,343.13167,-32.87556
PsA,343.13167,-32.87556,343.98708,-32.53972
PsA,343.98708,-32.53972,344.41292,-29.62222
Psc,18.43708,24.58,19.86667,27.26
Psc,19.86667,27.26,17.915,30.09
Psc,17.915,30.09,18.43708,24.58
Psc,18.43708,24.58,22.87083,15.35
Psc,22.87083,15.35,26.34833,9.16
Psc,26.34833,9.16,30.51167,2.76
Psc,30.51167,2.76,25.35792,5.49
Psc,25.35792,5.49,15.73583,7.89
Psc,15.73583,7.89,12.17083,7.59
Psc,12.17083,7.59,359.82792,6.86
Psc,359.82792,6.86,354.9875,5.63
Psc,354.9875,5.63,351.99208,6.38
Psc,351.99208,6.38,350.08583,4.61861
Psc,350.08583,4.61861,349.29125,3.28
Psc,349.29125,3.28,351.73333,1.26
Psc,351.73333,1.26,355.51167,1.78
Psc,355.51167,1.78,356.59792,3.49
Psc,356.59792,3.49,354.9875,5.63
Pup,121.88583,-24.30417,117.32375,-24.85972
Pup,117.32375,-24.85972,114.70542,-26.80167
Pup,114.70542,-26.80167,113.845,-28.36944
Pup,113.845,-28.36944,109.28583,-37.0975
Pup,120.89625,-40.00333,121.88583,-24.30417
Pyx,130.02583,-35.30833,130.89792,-33.18639
Pyx,130.89792,-33.18639,132.63292,-27.71
Scl,14.65167,-29.3575,357.23167,-28.13028
Scl,357.23167,-28.13028,349.70583,-32.53194
Scl,349.70583,-32.53194,353.24292,-37.81833
Sco,241.36042,-19.80194,245.29708,-25.59278
Sco,245.29708,-25.59278,240.08333,-22.62167
Sco,240.08333,-22.62167,245.29708,-25.59278
Sco,245.29708,-25.59278,239.71292,-26.11417
Sco,239.71292,-26.11417,245.29708,-25.59278
Sco,245.29708,-25.59278,247.35167,-26.43194
Sco,247.35167,-26.43194,248.97083,-28.21611
Sco,248.97083,-28.21611,252.54083,-34.29333
Sco,252.54083,-34.29333,252.9675,-38.0475
Sco,252.9675,-38.0475,253.64583,-42.36139
Sco,264.33,-42.99778,266.89625,-40.12694
Sco,266.89625,-40.12694,265.62208,-39.03
Sco,265.62208,-39.03,263.40208,-37.10389
Sco,263.40208,-37.10389,262.69083,-37.29583
Sct,281.79375,-4.74778,278.80167,-8.24417
Sct,278.80167,-8.24417,277.29958,-14.56583
Sct,277.29958,-14.56583,278.80167,-8.24417
Sct,278.80167,-8.24417,275.91458,-8.93417
Ser,260.20708,-12.84694,264.39667,-15.39861
Ser,264.39667,-15.39861,265.35375,-12.87528
Ser,265.35375,-12.87528,275.3275,-2.89889
Ser,275.3275,-2.89889,284.06083,4.2
Ser,236.54708,15.42,237.185,18.14
Ser,237.185,18.14,239.11333,15.66
Ser,239.11333,15.66,236.54708,15.42
Ser,236.54708,15.42,233.70042,10.54
Ser,233.70042,10.54,236.06708,6.43
Ser,236.06708,6.43,237.70417,4.48
Ser,237.70417,4.48,237.405,-3.43028
Ser,237.405,-3.43028,260.20708,-12.84694
Sex,157.57292,-0.63694,151.98458,-0.37167
Sex,151.98458,-0.37167,148.12667,-8.105
Sge,299.68917,19.49,296.84708,18.53
Sge,296.84708,18.53,295.02417,18.01
Sge,295.02417,18.01,296.84708,18.53
Sge,296.84708,18.53,295.26208,17.48
Sgr,290.97167,-40.61611,298.81542,-41.86833
Sgr,298.81542,-41.86833,299.93417,-35.27639
Sgr,299.93417,-35.27639,300.66458,-27.70972
Sgr,300.66458,-27.70972,299.23667,-27.17
Sgr,299.23667,-27.17,294.17667,-23.12
Sgr,294.17667,-23.12,286.735,-27.67056
Sgr,286.735,-27.67056,283.81625,-26.29667
Sgr,283.81625,-26.29667,286.17083,-21.74167
Sgr,286.17083,-21.74167,287.44083,-21.02361
Sgr,287.44083,-21.02361,290.41833,-17.84722
Sgr,290.41833,-17.84722,290.43167,-15.955
Sgr,290.43167,-15.955,290.41833,-17.84722
Sgr,290.41833,-17.84722,287.44083,-21.02361
Sgr,287.44083,-21.02361,286.17083,-21.74167
Sgr,286.17083,-21.74167,284.4325,-21.10667
Sgr,284.4325,-21.10667,286.17083,-21.74167
Sgr,286.17083,-21.74167,283.81625,-26.29667
Sgr,283.81625,-26.29667,281.41417,-26.99083
Sgr,281.41417,-26.99083,285.65292,-29.88028
Sgr,285.65292,-29.88028,286.735,-27.67056
Sgr,286.735,-27.67056,285.65292,-29.88028
Sgr,285.65292,-29.88028,281.41417,-26.99083
Sgr,281.41417,-26.99083,276.9925,-25.42167
Sgr,276.9925,-25.42167,275.24875,-29.82806
Sgr,275.24875,-29.82806,271.45208,-30.42417
Sgr,271.45208,-30.42417,275.24875,-29.82806
Sgr,275.24875,-29.82806,276.04292,-34.38472
Sgr,276.04292,-34.38472,274.40667,-36.76167
Tau,84.41125,21.14,68.98,16.51
Tau,68.98,16.51,64.94833,15.63
Tau,64.94833,15.63,60.17,12.49
Tau,60.17,12.49,51.20333,9.03
Tau,51.20333,9.03,60.17,12.49
Tau,60.17,12.49,64.94833,15.63
Tau,64.94833,15.63,65.73375,17.54
Tau,65.73375,17.54,67.15417,19.18
Tau,67.15417,19.18,81.57292,28.61
Tri,32.38583,34.99,34.32875,33.85
Tri,34.32875,33.85,28.27042,29.58
Tri,28.27042,29.58,32.38583,34.99
UMa,206.885,49.31,200.98125,54.93
UMa,200.98125,54.93,193.50708,55.96
UMa,193.50708,55.96,183.85667,57.03
UMa,183.85667,57.03,178.4575,53.69
UMa,178.4575,53.69,176.5125,47.78
UMa,176.5125,47.78,169.61958,33.09
UMa,169.61958,33.09,169.54583,31.53
UMa,169.54583,31.53,169.61958,33.09
UMa,169.61958,33.09,176.5125,47.78
UMa,176.5125,47.78,167.41583,44.5
UMa,167.41583,44.5,155.58208,41.5
UMa,155.58208,41.5,154.27417,42.91
UMa,154.27417,42.91,155.58208,41.5
UMa,155.58208,41.5,167.41583,44.5
UMa,167.41583,44.5,176.5125,47.78
UMa,176.5125,47.78,178.4575,53.69
UMa,178.4575,53.69,165.46042,56.38
UMa,165.46042,56.38,165.93208,61.75
UMa,165.93208,61.75,183.85667,57.03
UMa,183.85667,57.03,165.93208,61.75
UMa,165.93208,61.75,142.88208,63.06
UMa,142.88208,63.06,127.56625,60.72
UMa,127.56625,60.72,147.7475,59.04
UMa,147.7475,59.04,165.46042,56.38
UMa,165.46042,56.38,147.7475,59.04
UMa,147.7475,59.04,143.21417,51.68
UMa,143.21417,51.68,135.90625,47.16
UMa,135.90625,47.16,134.80167,48.04
UMi,37.95292,89.26,263.05375,86.59
UMi,263.05375,86.59,251.49208,82.04
UMi,251.49208,82.04,236.01458,77.79
UMi,236.01458,77.79,222.67625,74.16
UMi,222.67625,74.16,230.18208,71.83
UMi,230.18208,71.83,244.37625,75.76
UMi,244.37625,75.76,236.01458,77.79
Vel,153.68417,-42.12194,142.675,-40.46667
Vel,131.1,-42.64917,129.41125,-42.98917
Vir,201.29833,-11.16139,197.4875,-5.53889
Vir,197.4875,-5.53889,190.415,-1.44944
Vir,190.415,-1.44944,193.90083,3.4
Vir,193.90083,3.4,203.67333,-0.59583
Vir,203.67333,-0.59583,201.29833,-11.16139
Vul,289.05417,21.39,292.17625,24.67
Vul,292.17625,24.67,298.36542,24.08
